Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ
26,60000,84.27,560257,3.9,86.1,91.2,88.8,114.5348837,84.8,78000,1.424301744,1.5,강남구,아파트,201604,775.8585038,467.6583161,3571.73131
25,20000,51.66,532511,4.4,95.5,98.8,97.2,71.09803922,116.1,32750,0.772934452,1.75,노원구,아파트,201904,1413.752066,482.0064,3331.046198
5,52500,59.23,456069,2.6,107.1,105.3,105.7,100.1345636,185,170400,0.741309232,1,강동구,아파트,202111,874.7530595,237.3672619,3943.018967
32,18300,49.94,522235,4.2,98.5,99.2,99.4,106.8940493,134.5,44200,0.710203555,0.75,노원구,아파트,202004,798.1819412,233.858102,1636.667283
13,78000,84.6,291841,4.3,99,98.5,99.8,112.9172714,140,123133.33,0.786010216,0.5,성동구,아파트,202006,412.6587376,159.9421612,2633.034869
7,30000,112.92,357538,3,81.4,86.6,84.9,115.7564906,77.5,43390.91,1.15938871,2,동대문구,아파트,201411,836.8772774,183.111235,1662.29505
31,57750,141.52,362719,4.1,107.6,107,106.7,91.8781238,181.5,146500,0.819115579,1.25,마포구,아파트,202201,343.0182945,351.3771533,735.8305451
29,60000,131.06,392903,3.4,91.8,96.3,92,107.9063604,97.8,76115.38,0.815191448,1.25,동작구,아파트,201707,1023.454604,432.3489483,1147.895059
12,80000,84.99,662838,4.3,99,98.5,99.8,112.9172714,140,167833.33,0.80275876,0.5,송파구,아파트,202006,290.6764033,40.4550927,3502.500176
17,16000,84.92,308639,2.8,74.7,81.3,79,109.2980857,73.1,26262.5,1.465305924,2.75,서대문구,아파트,201210,1092.584074,262.6783898,387.4329736
29,55000,84.9,299044,3.1,97.5,100.5,98.8,102.1764706,129.5,106000,0.813000236,1.25,성동구,아파트,201911,405.9324006,322.0361114,2543.487042
28,14000,39.91,543267,3.6,94.6,98.4,95.4,98.28767123,121.5,33020.97,0.730990952,1.5,노원구,아파트,201809,1104.823141,89.3619861,486.1188946
33,26000,49.94,512274,4,105.6,103.4,102.7,109.7212165,170.8,68060,0.665118284,0.5,노원구,아파트,202104,448.6999437,203.8975262,1283.844594
