Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,BA_CR,PPA_CR,IR,UR,LC_index,CA_index,TC_index,SDT_index
2012,7,영등포구,11560,아파트,39318.67,73.92,537.86,162.7,82,24173.85,77.28,320.29,96.89,392,61.48,104.55,59.55,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,영등포구,11560,연립다세대,12798.78,31.92,439.28,132.88,41,10967.39,44.95,285.08,86.24,46,85.69,140.82,64.9,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,영등포구,11560,오피스텔,15182.96,36.13,426.42,128.99,117,16557.95,56.7,309.49,93.62,88,109.06,156.93,72.58,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,용산구,11170,단독다가구,113250.0,136.41,1112.59,336.56,18,8956.58,52.33,187.75,56.79,152,7.91,38.36,16.88,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,용산구,11170,아파트,70582.93,93.83,774.21,234.2,41,33386.79,92.97,361.97,109.5,212,47.3,99.08,46.75,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,용산구,11170,연립다세대,54772.86,73.08,893.65,270.33,28,12715.84,54.06,242.36,73.31,101,23.22,73.97,27.12,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,용산구,11170,오피스텔,25200.0,36.22,689.68,208.63,6,17212.5,42.06,434.85,131.54,12,68.3,116.12,63.05,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,은평구,11380,단독다가구,40324.86,141.92,308.37,93.28,29,7493.91,53.93,145.12,43.9,197,18.58,38.0,47.06,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,은평구,11380,아파트,34963.11,82.04,434.74,131.51,84,18520.21,78.81,235.87,71.35,356,52.97,96.06,54.26,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,은평구,11380,연립다세대,16267.7,50.58,334.89,101.3,178,9381.92,50.14,194.53,58.85,287,57.67,99.13,58.09,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,은평구,11380,오피스텔,15550.0,49.31,315.17,95.34,5,8287.5,37.62,221.94,67.14,8,53.3,76.29,70.42,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,종로구,11110,단독다가구,71562.96,120.56,787.72,238.29,25,8952.11,53.3,195.43,59.12,71,12.51,44.21,24.81,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,종로구,11110,아파트,42349.85,71.41,612.08,185.15,47,30709.09,88.51,344.7,104.27,55,72.51,123.95,56.32,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,종로구,11110,연립다세대,20132.26,55.59,352.83,106.73,31,15061.54,63.61,238.84,72.25,65,74.81,114.43,67.69,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,종로구,11110,오피스텔,25754.76,42.44,595.73,180.21,21,14500.0,36.55,397.39,120.21,4,56.3,86.12,66.71,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중구,11140,단독다가구,52150.0,108.7,682.25,206.38,6,8756.41,47.04,200.55,60.67,39,16.79,43.28,29.4,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중구,11140,아파트,79586.16,111.01,642.34,194.31,50,29654.17,83.44,358.63,108.49,120,37.26,75.16,55.83,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중구,11140,연립다세대,20495.0,49.93,412.73,124.85,10,14283.87,53.3,291.72,88.25,31,69.69,106.75,70.68,3.0,3.1,74.5,81.5,78.5,102.461258
