"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2004","중구","계",133259.5,6153,6918.5,7073,7014,11181,12673.5,14384.5,11734,10989.5,10575.5,7986.5,7383.5,7040,5064,3086.5,2083.5,1238,463,168,43.5,6.5
"2004","용산구","계",230989,11110,12374,12569,12130,18939.5,22054,25470,20508.5,19426,17773.5,13138.5,12243,11887,9204,5617.5,3471.5,1940,802.5,268,55,7.5
"2004","성동구","계",339240.5,18804,20356.5,19603,18351,29094,33969.5,38951.5,31738.5,28743.5,25477.5,18986,16547,15092.5,10611,6131,3524.5,2043.5,876,264,63,13
"2004","광진구","계",382733,19623.5,23571.5,24901.5,23841,34639.5,41782.5,42153,34699,33876,30201,20968,17126.5,14050.5,9310,5349,3369.5,2049,862,290,57,13
"2004","동대문구","계",381139.5,17833,21342,21954.5,21928.5,35590.5,38187,38718.5,32415,31489,30008,23183,20636.5,18859,13027,7508,4467.5,2520.5,1060,338.5,53,20.5
"2004","중랑구","계",434973.5,21293,27334,29261.5,28110,38999,39360,43052,39574.5,40061,36231,25762.5,21159.5,18016.5,11803.5,6770,4202,2518.5,1051,348,53.5,12.5
"2004","성북구","계",452089.5,22535.5,25637,26054.5,25946,40005,43384,47790,38978,37730,35235.5,27022.5,24289,22503.5,15706,8915.5,5339,3153,1316.5,458.5,76.5,14
"2004","강북구","계",360594,17456.5,20899,21304.5,20638,31401.5,34263,37321.5,30829,29897,28073.5,22088.5,20758,19040.5,12310,6636.5,3813.5,2423,1035.5,336.5,60,8.5
"2004","도봉구","계",379269,19728,24724.5,27057,26756,31748.5,29520,36031,33808,35974,33936,22174.5,17582.5,15163.5,10653.5,6603.5,4063,2347.5,1009.5,324,56,8.5
"2004","노원구","계",630057.5,36005,43286,47610,45068.5,50869,47327,61546.5,57358.5,60671.5,55491,35028.5,25810.5,22162,16516.5,11283,7324,4314,1739.5,522.5,100.5,23.5
"2004","은평구","계",476432.5,25016.5,29217.5,30757,28491.5,39267.5,43562,50481,41814,40920.5,37851,27725.5,24766,22192.5,15363.5,8797,5274,3010,1346,478,82.5,19
"2004","서대문구","계",353912,18599,20802.5,20822,19945,30333.5,34317.5,38550,31015.5,29431.5,26714,19475.5,17869,17491.5,13024,7280.5,4283,2518,1040.5,330.5,58,11
"2004","마포구","계",381454,20966,21794,20558.5,19624.5,32471,42249.5,46332,34512,30347.5,27301.5,20533.5,18838,17467.5,12540,7470.5,4353.5,2564.5,1101,355,64,10
